,name,Unmodified,Unmodified+Adenine,Modified (Primitive purine biosynthesis)
C04916,N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide,,11,25
C00094,Sulfite,,11,23
C01236,"D-Glucono-1,5-lactone 6-phosphate",,11,23
C17209,2-Deoxy-scyllo-inosose,,11,23
C07024,3'-Keto-3'-deoxy-ATP,,11,23
C00312,L-Xylulose,,11,22
C04593,"(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate",,11,23
C00132,Methanol,,11,23
C01818,Hyponitrite,,11,23
C21877,5-Carboxy-1-(5-O-phospho-beta-D-ribofuranosyl)pyridin-1-ium-3-carbonyl adenylate,,11,23
C20668,3-Dehydro-D-glucose 6-phosphate,,11,23
C03508,L-2-Amino-3-oxobutanoic acid,,11,23
C05984,2-Hydroxybutanoic acid,,12,24
C06054,2-Oxo-3-hydroxy-4-phosphobutanoate,,12,24
C05235,Hydroxyacetone,,12,24
C00379,Xylitol,,12,24
C02715,N-Acyl-L-aspartate,,12,24
C00506,L-Cysteate,,12,24
C00878,D-Arabinonate,,12,24
C05985,2-Propynal,,12,24
C21785,N5-Phospho-L-glutamine,,12,22
C01380,Ethylene glycol,,12,24
C00770,L-Idonate,,12,24
C01068,D-Ribitol 5-phosphate,,12,24
C06379,N-Acyl-D-glutamate,,12,24
C01762,Xanthosine,,12,24
C00538,2-Oxoaldehyde,,12,24
C02231,3-Nitroacrylate,,12,24
C20247,2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate,,12,24
C03620,Monocarboxylic acid amide,,12,24
C00502,D-Xylonate,,12,25
C05665,3-Aminopropanal,,12,24
C00555,4-Aminobutyraldehyde,,12,24
C12213,Kanosamine 6-phosphate,,12,24
C00532,L-Arabitol,,12,24
C00385,Xanthine,,12,24
C02761,beta-L-Arabinoside,,12,24
C01962,Thiocysteine,,12,24
C19719,D-Alanyl-D-serine,,12,22
C01489,D-Iditol,,12,24
C03906,beta-L-Arabinose 1-phosphate,,12,24
C00424,(S)-Lactaldehyde,,12,24
C00603,(S)-Ureidoglycolate,,12,24
C05938,L-4-Hydroxyglutamate semialdehyde,,12,24
C01087,(R)-2-Hydroxyglutarate,,12,24
C03107,"D-Glucono-1,4-lactone",,12,24
C00937,(R)-Lactaldehyde,,12,24
C19674,D-Arabinitol 1-phosphate,,12,24
C02119,3-Acylpyruvate,,12,24
C22219,D-Apionate,,12,24
C01432,Lactate,,12,24
C18345,"4-Carboxy-2-hydroxy-6-methoxy-6-oxohexa-2,4-dienoate",,12,24
C03453,gamma-Oxalocrotonate,,12,24
C04856,"(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide",,12,24
C03912,(S)-1-Pyrroline-5-carboxylate,,12,24
C01096,Sorbitol 6-phosphate,,12,24
C00116,Glycerol,,12,24
C03361,5'-Acylphosphoadenosine,,12,24
C17530,Methyl acetate,,12,24
C00093,sn-Glycerol 3-phosphate,,12,24
C03790,N-(Carboxymethyl)-D-alanine,,12,24
C21113,NMNH,,12,24
C01013,3-Hydroxypropanoate,,12,24
C21069,[5-(Aminomethyl)furan-3-yl]methyl diphosphate,,12,22
C00644,D-Mannitol 1-phosphate,,12,24
C06473,2-Keto-D-gluconic acid,,12,24
C05932,N-Succinyl-L-glutamate 5-semialdehyde,,12,24
C00241,Amide,,12,24
C07025,3'-Keto-3'-deoxy-AMP,,12,24
C06311,Galactitol 1-phosphate,,12,24
C00392,Mannitol,,12,24
C20742,2'-Phospho-cyclic ADP-ribose,,12,24
C00226,Primary alcohol,,12,24
C00847,4-Pyridoxate,,12,24
C19694,D-Alanyl-(R)-lactate,,12,22
C15565,(S)-2-Hydroxyacid,,12,24
C00596,"2-Hydroxy-2,4-pentadienoate",,12,24
C13051,Nicotinic acid adenine dinucleotide phosphate,,12,24
C05999,Lactaldehyde,,12,24
C04640,2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine,,12,11
C04053,5-Dehydro-4-deoxy-D-glucuronate,,12,24
C00005,NADPH,,12,24
C00726,Nitrile,,12,24
C00137,myo-Inositol,,12,24
C00623,sn-Glycerol 1-phosphate,,12,24
C00618,3-Dehydro-L-gulonate,,12,22
C04281,L-1-Pyrroline-3-hydroxy-5-carboxylate,,12,24
C00144,GMP,,12,24
C02630,2-Hydroxyglutarate,,12,24
C00474,Ribitol,,12,24
C03210,Alanopine,,12,24
C05696,3'-Phosphoadenylylselenate,,12,24
C05406,"5-Hydroxy-2,4-dioxopentanoate",,12,23
C21585,4-Phospho-D-threonate,,12,24
C03373,Aminoimidazole ribotide,,12,12
C02076,Sedoheptulose,,12,22
C21524,D-Altritol,,12,24
C00247,L-Sorbose,,12,24
C11536,(2R)-O-Phospho-3-sulfolactate,,12,24
C02207,beta-Alanopine,,12,24
C01697,Galactitol,,12,24
C01165,L-Glutamate 5-semialdehyde,,12,24
C21593,D-Erythronate,,12,24
C01904,D-Arabitol,,12,24
C01888,Aminoacetone,,12,24
C02716,N-Acyl-L-glutamine,,12,24
C04225,"(Z)-But-2-ene-1,2,3-tricarboxylate",,12,24
C02753,"D-Xylono-1,4-lactone",,12,24
C06380,N-Acyl-D-aspartate,,12,24
C02489,(R)-2-Hydroxyacid,,12,24
C15667,5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole,,12,14
C16884,D-Threitol,,12,24
C20680,2-Dehydro-3-deoxy-L-galactonate,,12,24
C02780,"2,5-Didehydro-D-gluconate",,12,24
C01508,L-Lyxose,,12,23
C00469,Ethanol,,12,24
C04122,D-1-Aminopropan-2-ol O-phosphate,,12,23
C01620,Threonate,,12,24
C01685,D-Ribonate,,12,24
C02133,Acyl phosphate,,12,24
C01114,"L-Arabinono-1,4-lactone",,12,24
C04063,"D-myo-Inositol 3,4-bisphosphate",,12,24
C04471,"(4S,5S)-4,5-Dihydroxy-2,6-dioxohexanoate",,12,24
C17580,2-Deoxy-scyllo-inosamine,,12,24
C05823,3-Mercaptolactate,,12,24
C04544,gamma-L-Glutamyl-L-cysteinyl-beta-alanine,,12,22
C03716,Oxaloacetate 4-methyl ester,,12,24
C10517,2-(alpha-D-Glucosyl)-sn-glycerol 3-phosphate,,13,25
C21787,S-Sulfinatoglutathione,,13,24
C03120,Glycerophosphodiester,,13,25
C00021,S-Adenosyl-L-homocysteine,,13,20
C21523,L-Tagatose,,13,25
C00942,"3',5'-Cyclic GMP",,13,25
C17581,"3-Amino-2,3-dideoxy-scyllo-inosose",,13,25
C03658,1-Hydroxyalkyl-sn-glycerol,,13,25
C00422,Triacylglycerol,,13,25
C19879,"D-glycero-alpha-D-manno-Heptose 1,7-bisphosphate",,13,22
C15585,myo-Inositol phosphate,,13,25
C00124,D-Galactose,,13,25
C06055,O-Phospho-4-hydroxy-L-threonine,,13,25
C06159,2-Dehydro-3-deoxy-D-fuconate,,13,25
C02637,3-Dehydroshikimate,,13,23
C15668,1-Pyrroline,,13,25
C00086,Urea,,13,25
C04899,"(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate",,13,25
C10906,D-Fructose,,13,25
C11537,(2R)-3-Sulfolactate,,13,25
C12212,Kanosamine,,13,25
C11546,2-O-(alpha-D-Glucopyranosyl)glycerol,,13,25
C01507,L-Iditol,,13,25
C02112,2-Acylglycerol,,13,25
C20246,"2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate",,13,25
C02895,Xylitol 5-phosphate,,13,25
C01885,1-Acylglycerol,,13,25
C01157,Hydroxyproline,,13,25
C00127,Glutathione disulfide,,13,24
C00245,Taurine,,13,25
C22030,5-Amino-1-(beta-D-ribosyl)imidazole,,13,22
C22218,D-Apionolactone,,13,25
C00545,L-Arabinonate,,13,25
C21015,gamma-L-Glutamyl-L-2-aminobutyrate,,13,22
C00096,GDP-mannose,,13,25
C05515,5-Ureido-4-imidazole carboxylate,,13,25
C00849,Ethyl acetate,,13,25
C02244,Aliphatic amide,,13,25
C00691,"2,4,6/3,5-Pentahydroxycyclohexanone",,13,25
C00989,4-Hydroxybutanoic acid,,13,24
C03189,DL-Glycerol 1-phosphate,,13,25
C00800,L-Gulonate,,13,24
C21250,2-Methyl-trans-aconitate,,13,25
C01099,L-Fuculose 1-phosphate,,13,25
C20903,"3,6-Anhydro-L-galactonate",,13,25
C03415,N2-Succinyl-L-ornithine,,13,25
C00035,GDP,,13,25
C02426,L-Glyceraldehyde,,13,25
C06548,Ethylene oxide,,13,25
C03194,(R)-1-Aminopropan-2-ol,,13,25
C00134,Putrescine,,13,25
C00296,Quinate,,13,24
C02912,"(R)-Propane-1,2-diol",,13,25
C05686,Adenylylselenate,,13,25
C02320,R-S-Glutathione,,13,25
C02501,2-Hydroxymuconate,,13,25
C00148,L-Proline,,13,25
C21649,D-Threonate,,13,25
C02658,Aldoxime,,13,25
C03431,S-Inosyl-L-homocysteine,,13,21
C03546,myo-Inositol 4-phosphate,,13,25
C06060,Amidine,,13,25
C00681,1-Acyl-sn-glycerol 3-phosphate,,13,25
C20482,"(6R)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide",,13,25
C05528,3-Sulfopyruvate,,13,25
C02589,S-Acylglutathione,,13,24
C04484,4-Carboxy-2-hydroxymuconate semialdehyde,,13,25
C01131,L-Rhamnulose 1-phosphate,,13,25
C15700,gamma-Glutamyl-gamma-aminobutyraldehyde,,13,24
C02888,Sorbose 1-phosphate,,13,25
C01177,Inositol 1-phosphate,,13,25
C03401,"L-2,3-Diaminopropanoate",,13,23
C00583,"Propane-1,2-diol",,13,25
C00314,Pyridoxine,,13,25
C05936,N4-Acetylaminobutanal,,13,24
C11472,"D-glycero-beta-D-manno-Heptose 1,7-bisphosphate",,13,22
C06222,Sedoheptulose 1-phosphate,,13,23
C02917,"(S)-Propane-1,2-diol",,13,25
C04575,"(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate",,13,23
C12214,Aminofructose 6-phosphate,,13,25
C00387,Guanosine,,13,25
C00242,Guanine,,13,25
C00077,L-Ornithine,,13,25
C01243,"1D-myo-Inositol 1,3,4-trisphosphate",,13,25
C06440,"2-Dehydro-D-glucono-1,5-lactone",,13,25
C01326,Hydrogen cyanide,,13,25
C15673,2-Dehydro-L-idonate,,13,25
C02225,2-Methylcitrate,,13,25
C03979,2-Dehydro-3-deoxy-L-rhamnonate,,13,25
C02979,Glycerol 2-phosphate,,13,25
C06257,1-Deoxy-D-xylulose,,14,26
C03974,2-Acyl-sn-glycerol 3-phosphate,,14,26
C00044,GTP,,14,26
C00627,Pyridoxine phosphate,,14,26
C18050,beta-D-Fructofuranosyl-alpha-D-mannopyranoside 6F-phosphate,,14,26
C05399,Melibiitol,,14,26
C05412,L-Lyxonate,,14,24
C05516,5-Amino-4-imidazole carboxylate,,14,26
C04322,Delta1-Pyrroline-5-carboxylate,,14,26
C01220,"1D-myo-Inositol 1,4-bisphosphate",,14,26
C19781,L-Prolinamide,,14,26
C00641,"1,2-Diacyl-sn-glycerol",,14,26
C03372,Acylglycerone phosphate,,14,26
C20781,"2,4-Diketo-3-deoxy-L-fuconate",,14,26
C01817,L-Homocystine,,14,25
C00327,L-Citrulline,,14,26
C00905,D-Fructuronate,,14,25
C15925,GDP-L-gulose,,14,26
C00682,2-Hydroxymuconate semialdehyde,,14,26
C00499,Allantoate,,14,26
C05401,3-beta-D-Galactosyl-sn-glycerol,,14,26
C21016,Ophthalmate,,14,23
C02714,N-Acetylputrescine,,14,26
C00488,Formamide,,14,26
C03440,cis-4-Hydroxy-D-proline,,14,26
C20961,"N3-Fumaroyl-L-2,3-diaminopropanoate",,14,24
C18172,Carboxyspermidine,,14,26
C05422,Dehydroascorbate,,14,24
C07335,2-Amino-3-oxo-4-phosphonooxybutyrate,,14,26
C00515,D-Ornithine,,14,26
C02280,GDP-L-galactose,,14,26
C05411,L-Xylonate,,14,24
C00224,Adenylyl sulfate,,14,25
C00446,alpha-D-Galactose 1-phosphate,,14,26
C03564,1-Pyrroline-2-carboxylate,,14,26
C05714,alpha-Aminopropiononitrile,,14,26
C00976,GDP-D-mannuronate,,14,26
C07838,D-glycero-beta-D-manno-Heptose 1-phosphate,,14,23
C00984,alpha-D-Galactose,,14,26
C01214,1-Amino-1-deoxy-scyllo-inositol,,14,26
C00263,L-Homoserine,,14,24
C21040,D-Apiofuranose,,14,26
C21643,3-Dehydro-scyllo-inosose,,14,26
C01228,"Guanosine 3',5'-bis(diphosphate)",,14,26
C04477,"1D-myo-Inositol 1,3,4,6-tetrakisphosphate",,14,26
C04299,"D-myo-Inositol 1,2-cyclic phosphate",,14,26
C00243,Lactose,,14,26
C00763,D-Proline,,14,26
C19675,"(R)-2,3-Dihydroxypropane-1-sulfonate",,14,26
C02669,"D-Galactono-1,5-lactone",,14,26
C15699,gamma-L-Glutamylputrescine,,14,26
C04287,"3D-3,5/4-Trihydroxycyclohexane-1,2-dione",,14,26
C00437,N-Acetylornithine,,14,26
C01566,Cyanamide,,14,26
C06366,sym-Homospermidine,,14,26
C05692,Se-Adenosyl-L-selenohomocysteine,,14,20
C20483,"(6R)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate",,14,26
C05718,2-Oxoacid oxime,,14,26
C20656,(L-Prolyl)adenylate,,14,26
C05402,Melibiose,,14,26
C20251,1-Keto-D-chiro-inositol,,14,26
C01616,Tauropine,,14,26
C00330,Deoxyguanosine,,14,26
C02627,2-Deoxystreptamine,,14,26
C03539,S-Ribosyl-L-homocysteine,,14,21
C18048,N-Succinyl-L-citrulline,,14,26
C06153,scyllo-Inositol,,14,26
C00493,Shikimate,,14,24
C01877,4-Oxoproline,,14,26
C00320,Thiosulfate,,14,25
C01235,alpha-D-Galactosyl-(1->3)-1D-myo-inositol,,14,26
C06891,"D-2,3-Diketo 4-deoxy-epi-inositol",,14,26
C00593,Sulfoacetaldehyde,,14,26
C03383,"D-Galactono-1,4-lactone",,14,26
C00861,L-Rhamnulose,,14,26
C05697,Selenate,,14,26
C00165,Diacylglycerol,,14,26
C01721,L-Fuculose,,14,26
C20902,"3,6-Anhydro-alpha-L-galactopyranose",,14,26
C04210,N5-(L-1-Carboxyethyl)-L-ornithine,,14,26
C05375,"2-Hydroxy-2-hydropyrone-4,6-dicarboxylate",,14,26
C00230,"3,4-Dihydroxybenzoate",,14,24
C19793,2-O-[2-O-(alpha-D-Mannopyranosyl)-alpha-D-glucopyranosyl]-3-phospho-D-glycerate,,14,26
C00394,GDP-glucose,,14,26
C00492,Raffinose,,14,26
C00191,D-Glucuronate,,14,25
C05400,Epimelibiose,,14,26
C11638,3-Amino-2-oxopropyl phosphate,,14,26
C06056,4-Hydroxy-L-threonine,,14,26
C16069,3-Sulfolactate,,14,26
C00436,N-Carbamoylputrescine,,14,26
C04062,"D-myo-Inositol 1,3-bisphosphate",,14,26
C01040,"L-Gulono-1,4-lactone",,14,25
C01401,Alanine,,14,26
C11499,(S)-3-Sulfolactate,,14,26
C06193,Guanosine 3'-phosphate,,14,26
C22072,2-[(L-Alanin-3-ylcarbamoyl)methyl]-2-hydroxybutanedioate,,14,24
C01272,"1D-myo-Inositol 1,3,4,5-tetrakisphosphate",,14,26
C19880,D-glycero-alpha-D-manno-Heptose 1-phosphate,,14,23
C01222,GDP-4-dehydro-6-deoxy-D-mannose,,14,26
C01582,Galactose,,15,27
C00053,3'-Phosphoadenylyl sulfate,,15,26
C01102,O-Phospho-L-homoserine,,15,25
C02091,(S)-Ureidoglycine,,15,27
C00624,N-Acetyl-L-glutamate,,15,27
C05147,trans-3-Hydroxy-L-proline,,15,27
C02084,Tetrathionate,,15,26
C01245,"D-myo-Inositol 1,4,5-trisphosphate",,15,27
C03576,Coenzyme M,,15,27
C03972,"2,3,4,5-Tetrahydrodipicolinate",,15,24
C20612,"GDP-4-dehydro-3,6-dideoxy-alpha-D-mannose",,15,27
C05123,2-Hydroxyethanesulfonate,,15,27
C03827,2-Dehydro-3-deoxy-L-fuconate,,15,27
C00507,L-Rhamnose,,15,27
C06194,"2',3'-Cyclic GMP",,15,27
C00059,Sulfate,,15,26
C00087,Sulfur,,15,26
C19891,1D-chiro-Inositol,,15,27
C15563,2-Amino-5-formylamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one,,15,27
C03223,"3,4-Dihydroxyphthalate",,15,25
C03989,Isolychnose,,15,27
C15926,beta-L-Galactose 1-phosphate,,15,27
C03406,N-(L-Arginino)succinate,,15,27
C18068,beta-D-Fructofuranosyl-alpha-D-mannopyranoside,,15,27
C05359,e-,,15,26
C02977,GDP-6-deoxy-D-talose,,15,27
C00514,D-Mannonate,,15,26
C14830,GDP-4-keto-6-L-deoxygalactose,,15,27
C08242,Lychnose,,15,27
C01019,6-Deoxy-L-galactose,,15,27
C01261,"P1,P4-Bis(5'-guanosyl) tetraphosphate",,15,27
C20890,"D-Glucaro-1,5-lactone",,15,26
C19706,cis-3-Hydroxy-L-proline,,15,27
C03851,Adenosine 5'-phosphoramidate,,15,26
C05385,D-Glucuronate 1-phosphate,,15,26
C06370,alpha-D-Glucuronoside,,15,26
C21181,(2S)-3-Sulfolactaldehyde,,15,27
C19881,GDP-D-glycero-alpha-D-manno-heptose,,15,27
C01284,"1D-myo-Inositol 1,3,4,5,6-pentakisphosphate",,15,27
C00558,D-Tagaturonate,,15,26
C00072,Ascorbate,,15,25
C03692,"1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol",,15,27
C11838,"(S)-4,5-Dihydroxypentane-2,3-dione",,15,22
C01613,Stachyose,,15,27
C03233,"4,5-Dihydroxyphthalate",,15,25
C03117,GDP-6-deoxy-D-mannose,,15,27
C04494,Guanosine 3'-diphosphate 5'-triphosphate,,15,27
C00416,Phosphatidate,,15,27
C06057,"3-Aminopropane-1,2-diol",,15,27
C01250,N-Acetyl-L-glutamate 5-semialdehyde,,15,27
C01041,Monodehydroascorbate,,15,25
C20640,Cyclic GMP-AMP,,15,27
C05239,5-Aminoimidazole,,15,27
C01283,1-Amino-1-deoxy-scyllo-inositol 4-phosphate,,15,27
C15532,N-Acetyl-L-citrulline,,15,27
C03033,beta-D-Glucuronoside,,15,26
C20638,"GDP-4-amino-4,6-dideoxy-alpha-D-mannose",,15,27
C06372,Lacto-N-biose,,15,27
C00315,Spermidine,,15,27
C20966,3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanine,,15,25
C00362,dGMP,,15,27
C00818,D-Glucarate,,15,26
C03175,Shikimate 3-phosphate,,15,25
C04480,3-Carboxy-2-hydroxymuconate semialdehyde,,15,27
C05922,Formamidopyrimidine nucleoside triphosphate,,15,27
C01277,1-Phosphatidyl-1D-myo-inositol 4-phosphate,,15,27
C22073,2-[(2-Aminoethylcarbamoyl)methyl]-2-hydroxybutanedioate,,15,25
C16463,"3',5'-Cyclic diGMP",,15,27
C00880,D-Galactonate,,15,27
C01110,5-Amino-2-oxopentanoic acid,,15,27
C00344,Phosphatidylglycerol,,15,27
C06397,ADP-D-glycero-beta-D-manno-heptose,,15,24
C01424,Gallate,,15,25
C21644,5-Dehydro-L-gluconate,,15,27
C01304,"2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one",,15,27
C04895,"7,8-Dihydroneopterin 3'-triphosphate",,15,27
C02670,D-Glucuronolactone,,15,26
C00325,GDP-L-fucose,,15,27
C14179,Sulfoacetate,,15,27
C22298,3-(D-Glyceryl)-diphospho-5'-guanosine,,15,27
C22101,N5-Citryl-D-ornithine,,15,27
C05404,D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose,,15,27
C05710,N-Hydroxy-amino acid,,15,27
C22297,Enolpyruvoyl-2-diphospho-5'-guanosine,,15,27
C05824,S-Sulfo-L-cysteine,,15,26
C03387,"D-Glucurono-6,2-lactone",,15,26
C01194,1-Phosphatidyl-D-myo-inositol,,15,27
C21606,2-O-(alpha-D-Mannosyl)-1-phosphatidyl-1D-myo-inositol,,16,28
C21615,Glycolaldehyde triphosphate,,16,28
C20959,"(4S)-4-Hydroxy-5-phosphooxypentane-2,3-dione",,16,23
C03819,1-Acylglycerophosphoinositol,,16,28
C06398,ADP-L-glycero-beta-D-manno-heptose,,16,25
C15853,Dehydrospermidine,,16,28
C21180,"2-Dehydro-3,6-dideoxy-6-sulfo-D-gluconate",,16,28
C05923,"2,5-Diaminopyrimidine nucleoside triphosphate",,16,28
C02827,D-Glucose 6-sulfate,,16,27
C20354,3-O-alpha-D-Glucopyranosyl-L-rhamnopyranose,,16,28
C06037,Digalactosyl-diacylglycerol,,16,28
C02000,Alkyl sulfate,,16,27
C21094,"7,8-Dihydromonapterin 3'-triphosphate",,16,28
C20991,"1,2-Diacyl-3-O-[beta-D-galactosyl-(1->6)-beta-D-galactosyl]-sn-glycerol",,16,28
C01269,5-O-(1-Carboxyvinyl)-3-phosphoshikimate,,16,26
C03684,6-Pyruvoyltetrahydropterin,,16,28
C00062,L-Arginine,,16,28
C11554,"1-Phosphatidyl-1D-myo-inositol 3,4-bisphosphate",,16,28
C02475,alpha-L-Fucoside,,16,28
C18910,"2,5-Diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one",,16,28
C01075,N-Sulfo-D-glucosamine,,16,27
C05616,3-O-Methylgallate,,16,26
Z00008,CoM,,16,28
C02703,L-Serine O-sulfate,,16,27
C20985,2-Sulfotrehalose,,16,27
C15930,L-Galactonate,,16,27
C00666,"LL-2,6-Diaminoheptanedioate",,16,25
C21752,2-Hydroxyethyl-CoM,,16,28
C04549,1-Phosphatidyl-1D-myo-inositol 3-phosphate,,16,28
C20239,"6-Carboxy-5,6,7,8-tetrahydropterin",,16,28
C04133,N-Acetyl-L-glutamate 5-phosphate,,16,28
C01204,Phytic acid,,16,28
C00361,dGDP,,16,28
C03920,2-(Methylthio)ethanesulfonate,,16,28
C05925,Dihydroneopterin phosphate,,16,28
C02704,Monomethyl sulfate,,16,27
C18314,"Phthalate 3,4-cis-dihydrodiol",,16,26
C11555,"1D-myo-Inositol 1,4,5,6-tetrakisphosphate",,16,28
C17205,(R)-2-O-Sulfolactate,,16,27
C02024,D-Mannuronate,,16,27
C11557,1-Phosphatidyl-1D-myo-inositol 5-phosphate,,16,28
C18174,Carboxynorspermidine,,16,25
C04783,"cis-4,5-Dihydroxycyclohexa-1(6),2-diene-1,2-dicarboxylate",,16,26
C02431,L-Rhamnofuranose,,16,28
C04637,"1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate",,16,28
C02991,"L-Rhamnono-1,4-lactone",,16,28
C04520,"1D-myo-Inositol 3,4,5,6-tetrakisphosphate",,16,28
C01825,L-Galactose,,16,28
C01602,Ornithine,,16,28
C19758,beta-D-Galactosyl-(1->4)-L-rhamnose,,16,28
C20613,GDP-beta-L-colitose,,16,28
C06038,Acyl1-monogalactosyl-diacylglycerol,,16,28
C05526,S-Glutathionyl-L-cysteine,,16,27
C04046,"3-D-Glucosyl-1,2-diacylglycerol",,16,28
C22074,2-[(L-Alanin-3-ylcarbamoyl)methyl]-3-(2-aminoethylcarbamoyl)-2-hydroxypropanoate,,16,26
C00536,Triphosphate,,16,28
C00333,D-Galacturonate,,16,27
C18028,"L-Fucono-1,5-lactone",,16,28
C20885,N-Citryl-spermidine,,16,28
C22102,Staphyloferrin A,,16,28
C04874,"7,8-Dihydroneopterin",,16,28
C01268,5-Amino-6-(5'-phosphoribosylamino)uracil,,16,28
C01029,N8-Acetylspermidine,,16,28
C04315,2-Acyl-3-O-(beta-D-galactosyl)-sn-glycerol,,16,28
C00817,D-Altronate,,16,27
C05730,Glutathionylspermidine,,16,28
C06371,Lacto-N-tetraose,,16,28
C01300,"6-(Hydroxymethyl)-7,8-dihydropterin",,16,28
C06195,Imidazolone,,16,28
C20830,6-Deoxy-6-sulfo-D-fructose,,16,28
C02985,L-Fucose 1-phosphate,,16,28
C11174,1-Diphosinositol pentakisphosphate,,17,29
C21099,L-Arginyl-L-amino acid,,17,29
C15990,"1L-myo-Inositol 1,2,3,4,6-pentakisphosphate",,17,29
C04579,"Inositol 1,2,3,5,6-pentakisphosphate",,17,29
C22004,"N8,N'8-Citryl-bis(spermidine)",,17,29
C01201,N(omega)-(ADP-D-ribosyl)-L-arginine,,17,29
C02587,Pyrimidodiazepine,,17,29
C21640,6-(1'-Hydroxy-2'-oxopropyl)-tetrahydropterin,,17,29
C20264,L-threo-Tetrahydrobiopterin,,17,29
C00581,Guanidinoacetate,,17,29
C06148,"2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine",,17,29
C00409,Methanethiol,,17,29
C20889,"D-Galactaro-1,5-lactone",,17,28
C01934,L-Rhamnonate,,17,29
C21955,"L-Galactono-1,5-lactone",,17,28
C04807,"6-Hydroxymethyl-7,8-dihydropterin diphosphate",,17,29
C00404,Polyphosphate,,17,29
C00792,D-Arginine,,17,29
C05340,beta-Alanyl-L-arginine,,17,29
C03789,"N,6-O-Disulfo-D-glucosamine",,17,28
C02273,Digalacturonate,,17,28
C00218,Methylamine,,17,29
C20960,"3-Hydroxy-5-phosphooxypentane-2,4-dione",,17,24
C22075,Staphyloferrin B,,17,27
C21607,"2,6-Di-O-alpha-D-mannosyl-1-phosphatidyl-1D-myo-inositol",,17,29
C02090,Trypanothione,,17,29
C21614,Glycolaldehyde phosphate,,17,29
C01115,"L-Galactono-1,4-lactone",,17,28
C20831,6-Deoxy-6-sulfo-D-fructose 1-phosphate,,17,29
C00286,dGTP,,17,29
C05981,"Phosphatidylinositol-3,4,5-trisphosphate",,17,29
C21008,"7,8-Dihydromonapterin",,17,29
C01035,4-Guanidinobutanoate,,17,29
C04244,"6-Lactoyl-5,6,7,8-tetrahydropterin",,17,29
C01720,L-Fuconate,,17,29
C03771,5-Guanidino-2-oxopentanoate,,17,29
C20829,Sulfoquinovose,,17,29
C15991,myo-Inositol pentakisphosphate,,17,29
C00272,Tetrahydrobiopterin,,17,29
C04037,1-Phospho-alpha-D-galacturonate,,17,28
C04454,5-Amino-6-(5'-phospho-D-ribitylamino)uracil,,17,29
C04390,"N6-Acetyl-LL-2,6-diaminoheptanedioate",,17,26
C05926,Neopterin,,17,29
C01682,Nopaline,,17,29
C01294,1-Guanidino-1-deoxy-scyllo-inositol 4-phosphate,,17,29
C04642,2-Hydroxy-5-carboxymethylmuconate semialdehyde,,17,24
C04563,"D-myo-Inositol 1,2,4,5,6-pentakisphosphate",,17,29
C05933,N(omega)-Hydroxyarginine,,17,29
C00680,"meso-2,6-Diaminoheptanedioate",,17,26
C04421,"N-Succinyl-LL-2,6-diaminoheptanedioate",,17,26
C11526,5-PP-InsP5,,17,29
C05945,L-Arginine phosphate,,17,29
C00879,D-Galactarate,,17,28
C11556,"1-Phosphatidyl-1D-myo-inositol 3,5-bisphosphate",,17,29
C02718,N-Formiminoglycine,,17,29
C01959,Taurocyamine,,17,29
C00179,Agmatine,,17,29
C04137,D-Octopine,,17,29
C06430,D-Galacturonolactone,,17,28
C03375,Norspermidine,,17,26
C21064,"6-Deoxy-6-sulfo-D-glucono-1,5-lactone",,18,30
C00073,L-Methionine,,18,30
C04732,5-Amino-6-(1-D-ribitylamino)uracil,,18,30
C02953,"7,8-Dihydrobiopterin",,18,30
C00835,Sepiapterin,,18,30
C03170,Trypanothione disulfide,,18,30
C21007,"5,6,7,8-Tetrahydromonapterin",,18,30
C20798,2-Hydroxy-3-oxopropane-1-sulfonate,,18,30
C03078,4-Guanidinobutanamide,,18,30
C02385,Amino acid(Arg-),,18,30
C03166,Phosphoguanidinoacetate,,18,30
C08371,Dimethyl disulfide,,18,30
C00543,Dimethylamine,,18,30
