,cid,formula,name,num_rgroup,electrons,reduction,water_amt,water_per_c
4786,C06476,C20H32O5,Prostaglandin F3alpha,0,192.0,2.55,35.0,1.75
4787,C06477,C6H10O7,L-Guluronic acid,0,102.0,1.6666666666666667,5.0,0.8333333333333334
4788,C06478,C6H10O5,"3,6-Anhydroglucose; 3,6-Anhydro-D-glucose",0,86.0,2.0,7.0,1.1666666666666667
4794,C06485,C6H10O5,"1,5-Anhydro-D-fructose",0,86.0,2.0,7.0,1.1666666666666667
4852,C06548,C2H4O,Ethylene oxide,0,24.0,2.5,3.0,1.5
4864,C06561,C15H12O5,"Naringenin chalcone; 2',4,4',6'-Tetrahydroxychalcone; Isosalipurpol; Chalconaringenin",0,142.0,2.066666666666667,25.0,1.6666666666666667
4865,C06562,C15H14O6,"(+)-Catechin; D-Catechin; Cyanidanol; (2R-trans)-2-(3,4-Dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol; (2R,3S)-Catechin; (2R,3S)-(+)-Catechin; Cianidanol",0,152.0,2.066666666666667,24.0,1.6
4866,C06563,C15H10O5,"Genistein; 5,7,4'-Trihydroxyisoflavone",0,140.0,2.0,25.0,1.6666666666666667
4879,C06576,C10H14O,p-Cumic alcohol,0,82.0,2.6,19.0,1.9
4880,C06577,C10H12O,4-Isopropylbenzaldehyde; p-Cumic aldehyde; Cuminaldehyde,0,80.0,2.5,19.0,1.9
4881,C06578,C10H12O2,p-Cumate,0,88.0,2.4,18.0,1.8
4882,C06579,C10H14O4,"cis-2,3-Dihydroxy-2,3-dihydro-p-cumate; cis-5,6-Dihydroxy-4-isopropylcyclohexa-1,3-dienecarboxylate",0,106.0,2.3,16.0,1.6
4883,C06580,C10H12O4,"2,3-Dihydroxy-p-cumate",0,104.0,2.2,16.0,1.6
4884,C06581,C10H12O6,"2-Hydroxy-3-carboxy-6-oxo-7-methylocta-2,4-dienoate",0,120.0,2.0,14.0,1.4
4885,C06582,C9H12O4,"2-Hydroxy-6-oxo-7-methylocta-2,4-dienoate",0,98.0,2.2222222222222223,14.0,1.5555555555555556
4891,C06589,C12H12O2,"cis-2,3-Dihydro-2,3-dihydroxybiphenyl; cis-3-Phenylcyclohexa-3,5-diene-1,2-diol; (1S,2R)-3-Phenylcyclohexa-3,5-diene-1,2-diol",0,100.0,2.3333333333333335,22.0,1.8333333333333333
4902,C06603,C6H6O4,"cis,cis-4-Hydroxymuconic semialdehyde; 4-Hydroxymuconic semialdehyde",0,74.0,1.8333333333333333,8.0,1.3333333333333333
4924,C06630,C28H50O10,"3-O-alpha-Mycarosylerythronolide B; 3-alpha-L-Mycarosylerythronolide B; 4-(4,5-Dihydroxy-4,6-dimethyl-tetrahydro-pyran-2-yloxy)-14-ethyl-6,7,12-trihydroxy-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione",0,298.0,2.5357142857142856,46.0,1.6428571428571428
4927,C06635,C21H38O7,Erythronolide B,0,220.0,2.5714285714285716,35.0,1.6666666666666667
4962,C06672,C8H8O4,Vanillate; Vanillic acid; 4-Hydroxy-3-methoxybenzoate; 4-Hydroxy-3-methoxybenzoic acid,0,88.0,2.0,12.0,1.5
4970,C06680,C8H6O5,4-Hydroxyphthalate,0,94.0,1.75,11.0,1.375
4981,C06691,C32H26O14,Actinorhodin; Actinorhodine,0,330.0,1.96875,50.0,1.5625
4983,C06693,C36H62O11,Monensin; Monensin A,0,366.0,2.5555555555555554,61.0,1.6944444444444444
4984,C06694,C31H48O6,Fusidic acid,0,274.0,2.5806451612903225,56.0,1.8064516129032258
4995,C06711,C13H10O,Fluoren-9-ol; 9-Fluorenol; 9-Hydroxyfluorene; Diphenylene carbinol,0,96.0,2.3076923076923075,25.0,1.9230769230769231
4996,C06712,C13H8O,Fluoren-9-one; 9-Fluorenone,0,94.0,2.230769230769231,25.0,1.9230769230769231
5001,C06719,C6H8O3,Dihydrophloroglucinol,0,68.0,2.1666666666666665,9.0,1.5
5002,C06720,C8H10O4,"1,6-Dihydroxy-5-methylcyclohexa-2,4-dienecarboxylate; 1,2-Dihydroxy-3-methylcyclohexa-3,5-dienecarboxylate",0,90.0,2.125,12.0,1.5
5008,C06727,C8H12O2,"cis-1,2-Dihydro-3-ethylcatechol; cis-2,3-Dihydroxy-2,3-dihydroethylbenzene; cis-3-Ethyl-cyclohexa-3,5-diene-1,2-diol",0,76.0,2.5,14.0,1.75
5009,C06728,C8H10O2,"3-Ethylcatechol; 2,3-Dihydroxyethylbenzene; 3-Ethyl-benzene-1,2-diol",0,74.0,2.375,14.0,1.75
5010,C06729,C8H10O4,"cis-1,2-Dihydroxy-4-methylcyclohexa-3,5-diene-1-carboxylate; 4-Methylcyclohexa-3,5-diene-1,2-cis-diol-1-carboxylic acid",0,90.0,2.125,12.0,1.5
5011,C06730,C7H8O2,"4-Methylcatechol; 3,4-Dihydroxytoluene; 1,2-Dihydroxy-4-methylbenzene; 4-Methyl-1,2-benzenediol",0,66.0,2.2857142857142856,12.0,1.7142857142857142
5012,C06731,C8H10O4,"1,2-Dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate",0,90.0,2.125,12.0,1.5
5014,C06733,C30H42O,8'-apo-beta-Carotenol,0,230.0,2.6666666666666665,59.0,1.9666666666666666
5015,C06734,C22H30O,14'-apo-beta-Carotenal,0,170.0,2.6363636363636362,43.0,1.9545454545454546
5019,C06738,C9H8O3,cis-p-Coumarate,0,86.0,2.111111111111111,15.0,1.6666666666666667
5020,C06739,C15H18O8,4'-O-beta-D-Glucosyl-cis-p-coumarate,0,172.0,2.066666666666667,22.0,1.4666666666666666
5021,C06740,C32H42O14,Glucosyl-limonin; Limonin 17-beta-D-glucoside,0,346.0,2.21875,50.0,1.5625
5036,C06757,C8H10O,4-Methylbenzyl alcohol; alpha-Hydroxy-p-xylene; 4-Tolylcarbinol,0,66.0,2.5,15.0,1.875
5037,C06758,C8H8O,p-Tolualdehyde; p-Methylbenzaldehyde; 4-Methylbenzaldehyde; 4-Toluylaldehyde; p-Formyltoluene,0,64.0,2.375,15.0,1.875
5038,C06760,C7H8O4,"2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde; (2E,4Z)-2-Hydroxy-5-methyl-6-oxohexa-2,4-dienoate",0,82.0,2.0,10.0,1.4285714285714286
5039,C06761,C6H8O3,(4E)-2-Oxohexenoic acid; 2-Oxohex-trans-4-enoate,0,68.0,2.1666666666666665,9.0,1.5
5040,C06762,C6H10O4,4-Hydroxy-2-oxohexanoic acid; 4-Hydroxy-2-oxohexanoate,0,78.0,2.1666666666666665,8.0,1.3333333333333333
5042,C06764,C44H72O12,Tetranactin,0,432.0,2.5454545454545454,76.0,1.7272727272727273
5049,C06773,C24H16O11,11-O-Demethylpradinone II,0,248.0,1.875,37.0,1.5416666666666667
5050,C06774,C25H18O11,11-O-Demethyl-7-methoxypradinone II,0,256.0,1.92,39.0,1.56
5051,C06775,C24H16O10,11-O-Demethylpradinone I,0,240.0,1.9166666666666667,38.0,1.5833333333333333
5070,C06799,C22H20O10,Granaticin,0,232.0,2.0,34.0,1.5454545454545454
5071,C06800,C17H12O6,Aflatoxin B1,0,162.0,2.0,28.0,1.6470588235294117
5072,C06801,C23H20O11,Tetracenomycin C,0,246.0,1.9565217391304348,35.0,1.5217391304347827
5095,C06831,C14H10O3,Dithranol; Anthralin,0,118.0,2.142857142857143,25.0,1.7857142857142858
5126,C06872,C21H36O5,Carboprost,0,202.0,2.619047619047619,37.0,1.7619047619047619
5145,C06891,C6H8O5,"D-2,3-Diketo 4-deoxy-epi-inositol; DKDI",0,84.0,1.8333333333333333,7.0,1.1666666666666667
5146,C06892,C6H10O6,2-Deoxy-5-keto-D-gluconic acid; DKH; 5-Dehydro-2-deoxy-D-gluconate; 2-Deoxy-D-threo-hex-5-ulosonic acid,0,94.0,1.8333333333333333,6.0,1.0
5173,C06928,C23H16O11,Cromolyn; Cromoglicic acid,0,242.0,1.8695652173913044,35.0,1.5217391304347827
5195,C06955,C41H64O13,Digitoxin,0,414.0,2.4634146341463414,69.0,1.6829268292682926
5196,C06956,C41H64O14,Digoxin,0,422.0,2.4390243902439024,68.0,1.6585365853658536
5197,C06957,C28H46O,Dihydrotachysterol,0,222.0,2.7857142857142856,55.0,1.9642857142857142
5207,C06972,C21H30O2,Dronabinol; delta9-Tetrahydrocannabinol; Tetrahydrocannabinol; THC,0,172.0,2.619047619047619,40.0,1.9047619047619047
5217,C06986,C11H8O4,Spirodilactone,0,106.0,2.0,18.0,1.6363636363636365
5223,C06997,C15H14O3,Fenoprofen,0,128.0,2.2666666666666666,27.0,1.8
5234,C07020,C15H22O3,Gemfibrozil,0,136.0,2.533333333333333,27.0,1.8
5264,C07058,C20H28O2,13-cis-Retinoic acid,0,,2.6,38.0,1.9
5267,C07064,C12H22O11,Lactulose,0,182.0,2.0,13.0,1.0833333333333333
5273,C07074,C24H36O5,Lovastatin,0,220.0,2.5416666666666665,43.0,1.7916666666666667
5279,C07084,C8H10O2,"Styrene-cis-2,3-dihydrodiol; cis-3-Ethenylcyclohexa-3,5-diene-1,2-diol",0,74.0,2.375,14.0,1.75
5280,C07085,C8H8O2,3-Vinylcatechol,0,72.0,2.25,14.0,1.75
5281,C07086,C8H8O2,Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetic acid,0,72.0,2.25,14.0,1.75
5282,C07087,C8H8O4,"2-Hydroxy-6-oxoocta-2,4,7-trienoate",0,88.0,2.0,12.0,1.5
5285,C07090,C5H4O2,Protoanemonin; 4-Methylenebut-2-en-4-olide; cis-4-Methylenebut-2-en-4-olide,0,50.0,2.0,8.0,1.6
5286,C07091,C5H6O3,cis-Acetylacrylate,0,60.0,2.0,7.0,1.4
5298,C07103,C6H4O3,"2-Hydroxy-1,4-benzoquinone; Hydroxybenzoquinone",0,64.0,1.8333333333333333,9.0,1.5
5305,C07112,C8H10O,1-Phenylethanol; Methylphenyl carbinol; alpha-Methylbenzyl alcohol,0,66.0,2.5,15.0,1.875
5306,C07113,C8H8O,Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone,0,64.0,2.375,15.0,1.875
5307,C07114,C9H8O3,3-Oxo-3-phenylpropanoate; Benzoylacetate; 3-Oxo-3-phenylpropionate; 3-Oxo-3-phenylpropionic acid,0,86.0,2.111111111111111,15.0,1.6666666666666667
5312,C07119,C22H32O3,Medroxyprogesterone,0,188.0,2.590909090909091,41.0,1.8636363636363635
5313,C07120,C22H30O3,Megestrol,0,186.0,2.5454545454545454,41.0,1.8636363636363635
5315,C07123,C8H10O4,"2-Hydroxy-6-oxo-octa-2,4-dienoate",0,90.0,2.125,12.0,1.5
5318,C07126,C11H10O2,Menadiol,0,92.0,2.272727272727273,20.0,1.8181818181818181
5339,C07159,C10H14O3,"2-Oxo-delta3-4,5,5-trimethylcyclopentenylacetate; 2-Oxo-delta3-4,5,5-trimethylcyclopentenylacetic acid",0,98.0,2.4,17.0,1.7
5355,C07185,C8H16O2,Valproic acid,0,80.0,2.75,14.0,1.75
5358,C07189,C8H8O2,2-Hydroxyacetophenone; omega-Hydroxyacetophenone,0,72.0,2.25,14.0,1.75
5364,C07198,C20H30O2,Methyltestosterone,0,166.0,2.65,38.0,1.9
5374,C07209,C8H8O,3-Methylbenzaldehyde; m-Tolualdehyde,0,64.0,2.375,15.0,1.875
5376,C07211,C8H8O2,m-Methylbenzoate; m-Toluic Acid; beta-Bethylbenzoic acid; m-Toluylic acid,0,72.0,2.25,14.0,1.75
5378,C07213,C8H10O,2-Methylbenzyl alcohol,0,66.0,2.5,15.0,1.875
5379,C07214,C8H8O,2-Methylbenzaldehyde; o-Toluic aldehyde; 2-Formyltoluene; o-Tolualdehyde,0,64.0,2.375,15.0,1.875
5380,C07215,C8H8O2,o-Toluate; o-Methylbenzoate; o-Toluic Acid; 2-Methylbenzoic acid,0,72.0,2.25,14.0,1.75
5381,C07216,C8H10O,3-Methylbenzyl alcohol,0,66.0,2.5,15.0,1.875
5404,C07254,C18H26O2,Nandrolone,0,150.0,2.611111111111111,34.0,1.8888888888888888
5418,C07271,C10H16O,"Limonene-1,2-epoxide; Limonene oxide; (4R)-Limonene-1,2-epoxide",0,84.0,2.7,19.0,1.9
5423,C07276,C10H18O2,"Limonene-1,2-diol; (1S,2S,4R)-Limonene-1,2-diol; (1S,2S,4R)-Menth-8-ene-1,2-diol",0,94.0,2.7,18.0,1.8
5431,C07285,C11H20O10,Arabino-galactose,0,166.0,2.0,12.0,1.0909090909090908
5432,C07287,C8H14O,Sulcatone; Methylheptenone; 6-Methylhept-5-en-2-one; 6-Methyl-5-hepten-2-one,0,70.0,2.75,15.0,1.875
5433,C07288,C8H16O,Sulcatol; 6-Methylhept-5-en-2-ol; 6-Methyl-5-hepten-2-ol,0,72.0,2.875,15.0,1.875
5434,C07289,C18H30O2,Crepenynate; (9Z)-Octadec-9-en-12-ynoate; (Z)-9-Octadecen-12-ynoic acid; Crepenynic acid,0,154.0,2.7222222222222223,34.0,1.8888888888888888
5435,C07290,C21H20O6,7-O-Methylluteone,0,194.0,2.1904761904761907,36.0,1.7142857142857142
5470,C07326,C6H12O5,"1,5-Anhydro-D-glucitol; 1,5-Anhydro-D-sorbitol; 1,5-Anhydroglucitol",0,88.0,2.1666666666666665,7.0,1.1666666666666667
5472,C07328,C5H12O,3-Methylbutanol; Isoamyl alcohol; Isopentyl alcohol,0,50.0,3.0,9.0,1.8
5473,C07329,C5H10O,3-Methylbutanal; Isovaleraldehyde,0,48.0,2.8,9.0,1.8
5474,C07330,C5H8O,"3-Methyl-2-butenal; 3-Methylbut-2-enal; 3,3-Dimethyl-acrylaldehyde; Senecialdehyde; Prenal",0,46.0,2.6,9.0,1.8
5476,C07332,C18H18O4,Dibenzylsuccinate,0,158.0,2.2777777777777777,32.0,1.7777777777777777
5480,C07338,C18H32O4,"(9Z,12Z)-(11S)-11-Hydroperoxyoctadeca-9,12-dienoic acid; (9Z,12Z)-(11S)-11-Hydroperoxyoctadeca-9,12-dienoate",0,172.0,2.6666666666666665,32.0,1.7777777777777777
5488,C07346,C19H30O3,Oxandrolone,0,168.0,2.6315789473684212,35.0,1.8421052631578947
5492,C07350,C11H14O4,"Phlorisovalerophenone; 3-Methyl-1-(2,4,6-trihydroxyphenyl)butan-1-one",0,112.0,2.272727272727273,18.0,1.6363636363636365
5493,C07351,C10H12O4,"Phlorisobutyrophenone; 2-Methyl-1-(2,4,6-trihydroxyphenyl)-1-propanone",0,104.0,2.2,16.0,1.6
5494,C07354,C18H32O4,"(7S,8S)-DiHODE; (9Z,12Z)-(7S,8S)-Dihydroxyoctadeca-9,12-dienoic acid; (7S,8S,9Z,12Z)-7,8-Dihydroxyoctadeca-9,12-dienoate",0,172.0,2.6666666666666665,32.0,1.7777777777777777
5495,C07355,C18H34O4,"(9Z)-(7S,8S)-Dihydroxyoctadecenoic acid; (Z)-(7S,8S)-Dihydroxyoctadeca-9-enoic acid; (Z)-(7S,8S)-Dihydroxyoctadeca-9-enoate",0,174.0,2.7222222222222223,32.0,1.7777777777777777
5497,C07357,C18H30O4,"(9Z,12Z,15Z)-(7S,8S)-Dihydroxyoctadeca-9,12,15-trienoic acid; (9Z,12Z,15Z)-(7S,8S)-Dihydroxyoctadeca-9,12,15-trienoate",0,170.0,2.611111111111111,32.0,1.7777777777777777
5506,C07369,C21H28O5,Prednisolone,0,194.0,2.4285714285714284,37.0,1.7619047619047619
5507,C07370,C21H26O5,Prednisone,0,192.0,2.380952380952381,37.0,1.7619047619047619
5520,C07393,C21H32O3,Oxymetholone,0,182.0,2.619047619047619,39.0,1.8571428571428572
5592,C07478,C7H8O5,"2-Hydroxy-5-methyl-cis,cis-muconate",0,90.0,1.8571428571428572,9.0,1.2857142857142858
5593,C07479,C7H8O5,2-Oxo-5-methyl-cis-muconate,0,90.0,1.8571428571428572,9.0,1.2857142857142858
5635,C07523,C12H18O,"Propofol; 2,6-Diisopropylphenol",0,98.0,2.6666666666666665,23.0,1.9166666666666667
5646,C07534,C20H24O2,Ethynyl estradiol; 17alpha-Ethinyl estradiol; Ethinyl estradiol; Ethinylestradiol,0,160.0,2.5,38.0,1.9
5688,C07578,C21H30O2,Cannabidiol; CBD,0,172.0,2.619047619047619,40.0,1.9047619047619047
5689,C07580,C21H26O2,Cannabinol,0,168.0,2.5238095238095237,40.0,1.9047619047619047
5692,C07584,C15H10O2,"Phenindione; 2-Phenyl-1,3-indandione",0,116.0,2.2,28.0,1.8666666666666667
5701,C07593,C23H22O6,Rotenone,0,208.0,2.217391304347826,40.0,1.7391304347826086
5702,C07594,C21H28O3,Pyrethrin I,0,178.0,2.5238095238095237,39.0,1.8571428571428572
5708,C07601,C20H24O9,Ginkgolide A,0,216.0,2.15,31.0,1.55
5709,C07602,C20H24O10,Ginkgolide B,0,224.0,2.1,30.0,1.5
5710,C07603,C20H24O11,Ginkgolide C; BN 52022,0,232.0,2.05,29.0,1.45
5711,C07604,C20H24O10,Ginkgolide J; BN 52024,0,224.0,2.1,30.0,1.5
5712,C07605,C15H18O8,Bilobalide,0,172.0,2.066666666666667,22.0,1.4666666666666666
5713,C07606,C30H16O8,Hypericin,0,260.0,2.0,52.0,1.7333333333333334
5715,C07608,C35H52O4,Hyperforin,0,294.0,2.6285714285714286,66.0,1.8857142857142857
5716,C07609,C15H20O3,Parthenolide,0,134.0,2.466666666666667,27.0,1.8
5717,C07610,C25H22O10,Silymarin; Silibinin; Silybin,0,252.0,2.04,40.0,1.6
5723,C07618,C21H26O2,Mestranol,0,168.0,2.5238095238095237,40.0,1.9047619047619047
5724,C07619,C25H32O2,Quinestrol,0,198.0,2.56,48.0,1.92
5725,C07620,C18H20O2,Diethylstilbestrol; DES,0,144.0,2.4444444444444446,34.0,1.8888888888888888
5726,C07621,C18H22O3,Methallenestril,0,154.0,2.4444444444444446,33.0,1.8333333333333333
5732,C07628,C23H32O2,Dimethisterone; Dimethisterone anhydrous,0,186.0,2.608695652173913,44.0,1.9130434782608696
5733,C07629,C22H30O,Desogestrel,0,170.0,2.6363636363636362,43.0,1.9545454545454546
5736,C07632,C19H32O2,"Androstanediol; Androstane-3,17-diol",0,162.0,2.736842105263158,36.0,1.894736842105263
5739,C07635,C19H30O2,Epiandrosterone,0,160.0,2.6842105263157894,36.0,1.894736842105263
5771,C07667,C30H30O8,Gossypol,0,274.0,2.2333333333333334,52.0,1.7333333333333334
5791,C07711,C27H44O,Previtamin D(3); Previtamin D3,0,214.0,2.7777777777777777,53.0,1.962962962962963
5792,C07712,C27H44O3,"Secalciferol; 24(R),25-Dihydroxyvitamin D3",0,230.0,2.7037037037037037,51.0,1.8888888888888888
5796,C07717,C13H10O2,"3,4-Dihydroxyfluorene",0,104.0,2.230769230769231,24.0,1.8461538461538463
5797,C07718,C13H10O4,"2-Hydroxy-4-(1-oxo-1,3-dihydro-2H-inden-2-ylidene)-but-2-enoic acid",0,120.0,2.076923076923077,22.0,1.6923076923076923
5798,C07719,C10H8O2,2-Formyl-1-indanone,0,84.0,2.2,18.0,1.8
5799,C07720,C9H8O2,3-Hydroxy-1-indanone,0,78.0,2.2222222222222223,16.0,1.7777777777777777
5800,C07721,C13H12O2,"(+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene",0,106.0,2.3076923076923075,24.0,1.8461538461538463
5801,C07722,C13H10O3,"3,4-Dihydroxy-3,4-dihydro-9-fluorenone",0,112.0,2.1538461538461537,23.0,1.7692307692307692
5802,C07723,C13H8O2,4-Hydroxy-9-fluorenone,0,102.0,2.1538461538461537,24.0,1.8461538461538463
5803,C07724,C13H10O2,"1,2-Dihydroxyfluorene",0,104.0,2.230769230769231,24.0,1.8461538461538463
5804,C07725,C13H10O4,"2-Hydroxy-4-(2-oxo-1,3-dihydro-2H-inden-1-ylidene)but-2-enoic acid",0,120.0,2.076923076923077,22.0,1.6923076923076923
5805,C07726,C10H8O2,1-Formyl-2-indanone,0,84.0,2.2,18.0,1.8
5806,C07727,C9H8O,"2-Indanone; 2H-Inden-2-one, 1,3-dihydro-",0,70.0,2.3333333333333335,17.0,1.8888888888888888
5807,C07728,C9H8O2,"3-Isochromanone; 1,4-Dihydro-3H-2-benzopyran-3-one",0,78.0,2.2222222222222223,16.0,1.7777777777777777
5808,C07729,C12H8O,Dibenzofuran; Diphenylene oxide,0,88.0,2.25,23.0,1.9166666666666667
5809,C07731,C12H10O5,"2-Hydroxy-6-oxo-6-(2-hydroxyphenyl)-hexa-2,4-dienoate",0,122.0,2.0,19.0,1.5833333333333333
5810,C07732,C12H8O2,Dibenzo-p-dioxin,0,96.0,2.1666666666666665,22.0,1.8333333333333333
5811,C07733,C12H10O4,"2,2',3-Trihydroxydiphenylether",0,114.0,2.0833333333333335,20.0,1.6666666666666667
5812,C07734,C12H10O6,"2-Hydroxy-6-oxo-6-(2-hydroxyphenoxy)-hexa-2,4-dienoate",0,130.0,1.9166666666666667,18.0,1.5
5863,C07834,C6H12O3,Paraldehyde,0,72.0,2.5,9.0,1.5
5891,C07880,C24H40O4,"Ursodiol; Ursodeoxycholic acid; Ursodeoxycholate; 3alpha,7beta-Dihydroxy-5beta-cholan-24-oic acid",0,216.0,2.6666666666666665,44.0,1.8333333333333333
5986,C08063,C6H8O2,"1,4-Cyclohexanedione",0,60.0,2.3333333333333335,10.0,1.6666666666666667
5987,C08064,C27H30O15,Saponarin; Isovitexin-7-O-beta-D-glucopyranoside,0,312.0,2.0,39.0,1.4444444444444444
6007,C08090,C18H18O2,Dienestrol; Dehydrostilbestrol,0,142.0,2.388888888888889,34.0,1.8888888888888888
6037,C08127,C27H44O3,"Paricalcitol; 19-Nor-1alpha,25-dihydroxyvitamin D2",0,230.0,2.7037037037037037,51.0,1.8888888888888888
6046,C08148,C27H40O4,"Hydroxyprogesterone caproate; Primolut depot; 17alpha-Caproyloxypregn-4-ene-3,20-dione",0,234.0,2.5925925925925926,50.0,1.8518518518518519
6047,C08149,C21H28O2,Levonorgestrel; (-)-Norgestrel,0,170.0,2.5714285714285716,40.0,1.9047619047619047
6048,C08150,C24H34O4,Medroxyprogesterone acetate; 6-alpha-Methyl-17-alpha-acetoxyprogesterone; 6-alpha-Methyl-17-alpha-hydroxyprogesterone acetate,0,210.0,2.5416666666666665,44.0,1.8333333333333333
6049,C08151,C24H32O4,Megestrol acetate,0,208.0,2.5,44.0,1.8333333333333333
6050,C08152,C22H28O3,Norethindrone acetate; Norethisterone acetate,0,184.0,2.5,41.0,1.8636363636363635
6051,C08153,C21H28O2,Norgestrel; (+-)-Norgestrel,0,170.0,2.5714285714285716,40.0,1.9047619047619047
6052,C08154,C28H44O3,Nandrolone decanoate,0,236.0,2.6785714285714284,53.0,1.8928571428571428
6053,C08155,C27H34O3,Nandrolone phenpropionate; Nandrolone phenylpropionate,0,220.0,2.5185185185185186,51.0,1.8888888888888888
6054,C08156,C27H40O3,Testosterone cypionate,0,226.0,2.6296296296296298,51.0,1.8888888888888888
6055,C08157,C26H40O3,Testosterone enanthate,0,220.0,2.6538461538461537,49.0,1.8846153846153846
6056,C08158,C22H32O3,Testosterone propionate,0,188.0,2.590909090909091,41.0,1.8636363636363635
6060,C08162,C20H24O2,Exemestane,0,160.0,2.5,38.0,1.9
6066,C08173,C23H30O6,Cortisone acetate; Cortisyl,0,216.0,2.391304347826087,40.0,1.7391304347826086
6069,C08176,C29H42O6,Hydrocortisone cypionate,0,264.0,2.5172413793103448,52.0,1.793103448275862
6071,C08179,C24H32O6,"Methylprednisolone acetate; 6alpha-Methylprednisolone 21-acetate; 11beta,17,21-Trihydroxy-6alpha-methylpregna-1,4-diene-3,20-dione 21-acetate; M-Predrol",0,224.0,2.4166666666666665,42.0,1.75
6072,C08180,C23H30O6,Prednisolone acetate; Prednisolone 21-acetate; Pricortin,0,216.0,2.391304347826087,40.0,1.7391304347826086
6073,C08182,C27H38O6,Prednisolone tebutate; Prednisolone butyl acetete,0,248.0,2.4814814814814814,48.0,1.7777777777777777
6086,C08211,C28H44O2,Doxercalciferol; 1alpha-Hydroxyergocalciferol,0,228.0,2.7142857142857144,54.0,1.9285714285714286
6093,C08234,C7H14O4,"beta-Cymaropyranose; D-Cymarose; Cymarose; 2,6-Dideoxy-3-O-methyl-D-ribo-hexose",0,88.0,2.4285714285714284,10.0,1.4285714285714286
6094,C08235,C7H14O5,Digitalose; beta-D-Digitalopyranose,0,96.0,2.2857142857142856,9.0,1.2857142857142858
6095,C08236,C7H14O7,alpha-D-Mannoheptulopyranose; Mannoheptulose,0,112.0,2.0,7.0,1.0
6096,C08237,C7H14O4,Oleandrose; beta-L-Oleandropyranose,0,88.0,2.4285714285714284,10.0,1.4285714285714286
6097,C08238,C36H62O31,alpha-Galactosyl-(1-6)-alpha-galactosyl-(1-6)-alpha-galactosyl-(1-6)-alpha-galactosyl-(1-6)-alpha-glucosyl-(1-2)-beta-fructose; Ajugose,0,526.0,2.0,41.0,1.1388888888888888
6098,C08239,C18H32O16,Gentianose; beta-D-Fructofuranosyl O-beta-D-glucopyranosyl-(1-6)-alpha-D-glucopyranoside,0,268.0,2.0,20.0,1.1111111111111112
6099,C08240,C12H22O11,Gentiobiose,0,182.0,2.0,13.0,1.0833333333333333
6101,C08242,C24H42O21,Lychnose; 1F-alpha-D-Galactosylraffinose,0,354.0,2.0,27.0,1.125
6102,C08243,C18H32O16,Melezitose,0,268.0,2.0,20.0,1.1111111111111112
6103,C08244,C12H22O10,2-O-alpha-L-Rhamnopyranosyl-D-glucopyranose; Neohesperidose,0,174.0,2.0833333333333335,14.0,1.1666666666666667
6104,C08245,C11H20O10,6-O-beta-D-Xylopyranosyl-D-glucose; Primeverose,0,166.0,2.0,12.0,1.0909090909090908
6105,C08246,C12H22O10,Robinobiose,0,174.0,2.0833333333333335,14.0,1.1666666666666667
6106,C08247,C12H22O10,Rutinose,0,174.0,2.0833333333333335,14.0,1.1666666666666667
6107,C08248,C24H42O21,Sesamose; alpha-D-Galactosyl-(1-6)-alpha-D-galactosyl-(1-6)-beta-D-fructosyl-(2-1)-alpha-D-glucoside,0,354.0,2.0,27.0,1.125
6109,C08250,C12H22O11,Sophorose; alpha-Sophorose; 2-O-beta-D-Glucopyranosyl-beta-D-glucopyranose,0,182.0,2.0,13.0,1.0833333333333333
6110,C08251,C18H32O16,Umbelliferose; beta-D-Fructofuranosyl 2-O-alpha-D-galactopyranosyl-beta-D-glucopyranoside,0,268.0,2.0,20.0,1.1111111111111112
6111,C08252,C30H52O26,Verbascose; beta-D-Fructofuranosyl O-alpha-D-galactopyranosyl-(1-6)-O-alpha-D-galactopyranosyl-(1-6)-O-alpha-D-galactopyranosyl-(1-6)-alpha-D-glucopyranoside,0,440.0,2.0,34.0,1.1333333333333333
6113,C08254,C12H24O11,Clusianose,0,184.0,2.0833333333333335,13.0,1.0833333333333333
6114,C08255,C7H16O7,Perseitol; D-glycero-D-galacto-Heptitol,0,114.0,2.142857142857143,7.0,1.0
6115,C08257,C7H14O6,(-)-Quebrachitol,0,104.0,2.142857142857143,8.0,1.1428571428571428
6116,C08258,C6H12O5,(+)-Quercitol; d-Quercitol,0,88.0,2.1666666666666665,7.0,1.1666666666666667
6117,C08259,C6H12O5,(-)-Viburnitol,0,88.0,2.1666666666666665,7.0,1.1666666666666667
6118,C08260,C7H16O7,Volemitol; D-glycero-D-manno-Heptitol,0,114.0,2.142857142857143,7.0,1.0
6119,C08261,C9H16O4,"Azelaic acid; Nonanedioic acid; 1,7-Heptanedicarboxylic acid",0,102.0,2.4444444444444446,14.0,1.5555555555555556
6120,C08262,C5H10O2,3-Methylbutanoic acid; Isovaleric acid; Isovalerate,0,56.0,2.6,8.0,1.6
